"Timestamp","Are you over the age of 18?","Do you ever experience challenges or specific needs when finding and using public washrooms?","In a typical week, how often do you use public washrooms outside your home?","How much effort does it usually take to locate a public washroom when you need one?","Have you ever changed your plans, delayed an outing, or avoided going somewhere because you weren’t sure a washroom would be available?","When using a public washroom, how often do you require accessibility features (e.g., grab bars, wider stalls, automatic doors, lower sinks)?","Which washroom features are most important to you? (Select up to 3)","Have you ever encountered a washroom labeled “accessible” that did not meet your needs?","How stressful do you find situations when you cannot locate a washroom quickly?","How confident are you that you can find a suitable public washroom when you leave home?","Have you ever used a digital tool (e.g., Google Maps, apps, websites) to locate a washroom?","When looking up a washroom online, which information would be most valuable? (Select all that apply)","How likely would you be to trust user reviews about a washroom’s accessibility?","Is there anything else you’d like to share about your experiences finding or using public washrooms?","What is your age group?","Do you identify as having a disability or condition that affects your mobility?","Do you live in the city of Toronto?"
"2025/09/25 5:15:20 PM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","Once per day","Somewhat easy","Yes","Never","Cleanliness;Automatic doors / touchless fixtures","No","Somewhat stressful","Somewhat confident","Yes, sometimes","Photos of the washroom;Cleanliness ratings;Real-time availability (occupied/free)","Somewhat likely","N/A","18–24","No","No, I live within the GTA or beyond"
"2025/09/25 5:25:13 PM AST","Yes","No – I generally do not experience challenges when finding or using public washrooms","","","","","","","","","","","","","","",""
"2025/09/25 5:32:31 PM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","Multiple times per day","Somewhat easy","No","Never","Cleanliness;Clear signage/directions","Yes","Somewhat stressful","Somewhat confident","Yes, sometimes","Accessibility details (e.g., stall width, grab bars);Cleanliness ratings;User reviews;Real-time availability (occupied/free)","Somewhat likely","Not enough truly public washrooms in Toronto, only in malls department stores or gas stations, a lot of them have a barrier to access (paying for service)","25–34","No","Yes, within midtown/uptown Toronto"
"2025/09/25 5:44:15 PM AST","Yes","No – I generally do not experience challenges when finding or using public washrooms","","","","","","","","","","","","","","",""
"2025/09/25 5:46:55 PM AST","Yes","Yes – I often need urgent access to a washroom (e.g., medical, health, or personal reasons)","Multiple times per day","Neither easy nor difficult","Yes","Never","Cleanliness;Clear signage/directions;Automatic doors / touchless fixtures","No","Somewhat stressful","Somewhat confident","No, never","Photos of the washroom;Cleanliness ratings;User reviews","Somewhat likely","No","18–24","No","No, I live within the GTA or beyond"
"2025/09/25 6:06:24 PM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","Rarely","Somewhat difficult","No","Never","Cleanliness;Clear signage/directions","No","Somewhat stressful","Very unconfident","Yes, sometimes","User reviews;Real-time availability (occupied/free)","Very likely","No","25–34","No","Yes, within central downtown Toronto"
"2025/09/25 6:16:27 PM AST","Yes","Yes – I often need urgent access to a washroom (e.g., medical, health, or personal reasons)","Multiple times per day","Somewhat easy","Yes","Often","Cleanliness;Grab bars / handrails;Wide stalls or accessible layout","Yes","Somewhat stressful","Somewhat confident","No, never","Photos of the washroom","Neutral","N/a","25–34","No","No, I live within the GTA or beyond"
"2025/09/25 6:27:13 PM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","Multiple times per day","Somewhat difficult","No","Sometimes","Cleanliness;Clear signage/directions;Automatic doors / touchless fixtures","Yes","Somewhat stressful","Neutral","Yes, sometimes","Photos of the washroom;Cleanliness ratings;User reviews;Official certifications (e.g., accessibility compliance)","Somewhat likely",".","18–24","No","Yes, within central downtown Toronto"
"2025/09/25 6:35:21 PM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","Once per day","Neither easy nor difficult","No","Never","Cleanliness;space to hold a phone or bag ","No","A little stressful","Somewhat confident","Yes, sometimes","sinks and toilet paper availability ","Neutral","no","18–24","No","No, I live within the GTA or beyond"
"2025/09/25 7:02:29 PM AST","Yes","No – I generally do not experience challenges when finding or using public washrooms","","","","","","","","","","","","","","",""
